Input Size,Threads,Run 1,Run 2,Run 3,Run 4,Run 5,Avg (ms)
"1,000",1,0.574681,0.489208,0.597884,0.519132,0.577895,0.55176
"1,000",2,0.809522,0.640281,0.694503,0.669884,0.774991,0.7178362
"1,000",4,1.22025,2.50187,1.56597,1.27631,1.62938,1.638756
"10,000",1,6.03871,10.6935,7.59907,10.6978,5.95466,8.196748000000001
"10,000",2,3.80724,3.37189,5.06921,5.91394,4.59087,4.55063
"10,000",4,3.53331,3.99495,4.2809,3.40962,3.34199,3.7121539999999995
"100,000",1,88.0936,103.117,85.2715,156.149,87.523,104.03081999999999
"100,000",2,57.768,50.8499,56.7082,62.3934,49.9099,55.525879999999994
"100,000",4,46.5963,43.7956,39.4924,43.2388,38.3923,42.30308
"1,000,000",1,865.498,1012.16,953.835,948.828,1237.63,1003.5902
"1,000,000",2,559.092,615.469,721.482,554.61,575.82,605.2946000000001
"1,000,000",4,529.771,432.127,538.088,497.976,517.503,503.093
